./vector_million_small_vectors,1024,1,452K,0.000347
./vector_million_small_vectors,1024,1,440K,0.000383
./vector_million_small_vectors,1024,1,440K,0.000338
./vector_million_small_vectors,1024,1,452K,0.000339
./vector_million_small_vectors,1024,1,440K,0.000334
./vector_million_small_vectors,1024,1,452K,0.000380
./vector_million_small_vectors,1024,1,452K,0.000544
./vector_million_small_vectors,1024,1,452K,0.000335
./vector_million_small_vectors,1024,1,452K,0.000338
./vector_million_small_vectors,1024,1,440K,0.000329
