Count(M), Vector,Map,Map/Vector
100,12732,81780,6.4231856739
200,24644,142188,5.7696802467
300,40644,205700,5.0610176164
400,48460,269176,5.5546017334
500,72652,334696,4.6068380774
600,80468,397188,4.9359745489
700,88276,462716,5.2416964973
800,96092,518004,5.390708904
900,136676,584572,4.2770640054
1000,144484,601972,4.1663575206
1100,152300,722824,4.7460538411
1200,160108,778068,4.8596447398
1300,167924,827272,4.926466735
1400,175732,905112,5.1505246626
1500,183548,972696,5.2994094188
1600,191356,1034116,5.4041472439
1700,198300,1092484,5.5092486132
1800,202208,1162112,5.7471118848
1900,206112,1225604,5.9463010402
2000,210020,1286008,6.123264451
